Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1978,57.3,72,21.65,136.8,88.2 ,68.7 ,69.9 ,35.8 ,19.9 ,91.3 ,52.8 ,54.1 ,75.5 ,61.1 ,146.2 ,70.0 ,55.3 ,104.7 ,147.0 ,86.1 ,28.8 ,23.1 ,62.3 ,87.5 ,127.4 ,58.3 ,20.2 ,100.6 
1979,92.9,78,45.05,122.55,127.2 ,87.0 ,52.1 ,58.0 ,81.8 ,92.8 ,55.0 ,89.8 ,117.9 ,80.5 ,85.8 ,69.6 ,79.9 ,50.2 ,47.0 ,132.1 ,84.4 ,94.6 ,105.3 ,43.1 ,68.4 ,85.8 ,36.6 ,62.7 
1980,104.5,75,29.45,119.4,69.7 ,120.4 ,28.5 ,39.1 ,52.0 ,108.6 ,92.8 ,118.4 ,31.8 ,91.0 ,86.4 ,135.4 ,101.8 ,100.6 ,45.2 ,69.6 ,79.5 ,56.4 ,22.9 ,71.4 ,41.5 ,107.6 ,104.8 ,30.4 
1981,59.5,70,21.85,108.8,73.5 ,74.5 ,24.6 ,108.3 ,64.4 ,79.3 ,87.0 ,107.9 ,102.4 ,86.5 ,109.3 ,81.3 ,12.2 ,57.2 ,60.9 ,19.1 ,48.3 ,37.1 ,84.4 ,62.3 ,57.1 ,55.4 ,59.6 ,133.0 
1982,54.5,67,36.15,106.45,35.7 ,36.6 ,107.1 ,73.0 ,49.9 ,46.2 ,118.4 ,97.8 ,74.2 ,49.0 ,74.7 ,71.7 ,46.3 ,48.8 ,94.1 ,88.1 ,77.3 ,40.7 ,105.8 ,82.5 ,53.5 ,31.8 ,73.9 ,45.9 
1983,88.9,67,33.7,117.35,97.5 ,29.8 ,47.7 ,117.2 ,44.7 ,77.1 ,56.1 ,126.0 ,49.6 ,63.4 ,62.8 ,29.0 ,73.3 ,69.1 ,49.0 ,42.1 ,106.1 ,117.5 ,48.1 ,52.6 ,44.1 ,89.7 ,89.1 ,37.6 
1984,75.9,66,31.35,116.2,90.4 ,73.8 ,33.9 ,105.3 ,50.6 ,51.2 ,103.7 ,62.6 ,42.7 ,40.9 ,31.9 ,105.2 ,21.2 ,59.2 ,37.4 ,76.7 ,40.7 ,85.5 ,65.8 ,44.4 ,142.9 ,127.1 ,73.5 ,30.8 
1985,42.1,72,33.65,119.8,63.5 ,49.5 ,52.1 ,64.8 ,144.0 ,81.8 ,91.5 ,25.5 ,29.8 ,52.2 ,124.7 ,37.5 ,45.5 ,49.6 ,39.4 ,61.2 ,111.6 ,71.3 ,83.2 ,94.6 ,114.9 ,93.4 ,82.9 ,82.4 
1986,64.5,78,50.25,111.35,30.7 ,83.7 ,68.0 ,90.8 ,114.9 ,103.0 ,107.8 ,63.2 ,54.7 ,62.7 ,86.6 ,93.1 ,70.3 ,78.5 ,50.7 ,71.2 ,73.7 ,122.9 ,75.9 ,98.3 ,49.8 ,60.5 ,68.4 ,95.7 
1987,59.7,67,23.2,110.85,52.9 ,54.8 ,96.3 ,46.7 ,12.5 ,66.7 ,21.0 ,91.5 ,59.9 ,110.6 ,66.0 ,47.1 ,25.4 ,90.2 ,55.2 ,79.5 ,103.3 ,72.8 ,48.6 ,84.0 ,65.2 ,111.1 ,132.1 ,26.7 
