Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1986,290.4,217,133.15,294.1,186.8 ,124.3 ,247.9 ,302.8 ,114.8 ,279.1 ,182.5 ,308.5 ,142.0 ,233.8 ,217.5 ,226.8 ,261.7 ,166.4 ,202.0 ,215.7 ,256.9 ,189.0 ,220.0 ,285.4 ,164.7 ,244.2 ,261.0 ,179.9 
1987,245.9,243,158.65,318.95,269.9 ,271.1 ,254.5 ,306.4 ,150.0 ,213.2 ,197.7 ,312.3 ,227.2 ,255.0 ,319.2 ,184.3 ,242.5 ,160.9 ,236.9 ,273.0 ,156.4 ,220.0 ,189.5 ,318.7 ,309.3 ,186.1 ,372.0 ,221.5 
1988,244.4,216,148.1,292,180.3 ,180.2 ,179.9 ,177.6 ,282.9 ,170.5 ,243.0 ,192.3 ,211.0 ,193.3 ,259.3 ,229.1 ,189.7 ,250.5 ,119.7 ,147.2 ,383.0 ,238.3 ,180.7 ,269.6 ,176.1 ,149.0 ,300.3 ,283.7 
1989,250.2,206,135.55,271.95,252.6 ,206.3 ,250.2 ,164.0 ,271.8 ,124.0 ,233.2 ,178.5 ,134.0 ,156.9 ,205.0 ,197.3 ,210.9 ,182.4 ,179.5 ,223.4 ,213.6 ,251.1 ,272.1 ,137.1 ,181.9 ,249.5 ,297.4 ,174.0 
1990,205,252,171.85,328.55,276.5 ,205.1 ,284.1 ,156.8 ,223.2 ,323.9 ,235.4 ,300.3 ,197.6 ,306.7 ,244.8 ,266.1 ,125.7 ,305.9 ,262.5 ,254.0 ,311.1 ,186.9 ,344.1 ,232.9 ,246.4 ,238.2 ,201.6 ,333.2 
1991,178.7,212,123.65,318.45,315.8 ,321.1 ,160.7 ,235.8 ,229.0 ,161.6 ,205.0 ,174.0 ,133.8 ,278.4 ,187.9 ,160.0 ,310.2 ,223.5 ,101.4 ,204.3 ,199.4 ,254.2 ,238.7 ,113.5 ,164.6 ,153.3 ,240.0 ,335.3 
1992,285.5,224,154.1,316.5,156.9 ,311.2 ,265.9 ,277.3 ,222.2 ,155.4 ,161.3 ,156.9 ,215.7 ,185.4 ,307.1 ,207.1 ,219.0 ,221.0 ,370.8 ,152.8 ,177.4 ,150.5 ,229.4 ,315.6 ,179.9 ,241.3 ,192.4 ,317.4 
1993,222.6,220,153.75,313.15,204.6 ,209.3 ,280.6 ,232.0 ,172.7 ,189.1 ,308.4 ,321.0 ,138.2 ,206.3 ,159.2 ,263.4 ,167.0 ,238.6 ,191.0 ,254.1 ,184.6 ,194.5 ,217.8 ,317.9 ,177.6 ,244.1 ,270.5 ,148.3 
1994,179.7,205,147.55,255.8,169.5 ,211.5 ,126.4 ,168.7 ,223.2 ,188.1 ,254.7 ,75.5 ,187.6 ,256.9 ,201.1 ,250.0 ,233.7 ,202.7 ,237.4 ,234.2 ,201.2 ,217.1 ,186.7 ,199.0 ,301.5 ,193.0 ,194.9 ,213.0 
1995,317.7,216,163.75,288.7,205.8 ,258.2 ,247.1 ,183.6 ,226.7 ,169.5 ,287.9 ,158.0 ,186.9 ,178.7 ,210.9 ,289.5 ,180.9 ,185.0 ,190.5 ,178.8 ,190.9 ,272.2 ,188.6 ,238.5 ,290.2 ,287.6 ,149.9 ,239.6 
