Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
2006,213.2,194,126.1,256.65,156.4 ,233.7 ,142.7 ,179.9 ,222.7 ,223.6 ,147.1 ,163.0 ,258.2 ,174.2 ,154.4 ,152.5 ,186.0 ,255.1 ,227.4 ,135.9 ,171.8 ,116.3 ,187.7 ,230.6 ,186.5 ,101.3 ,242.9 ,421.6 
2007,106.6,230,169.45,314.6,248.0 ,306.9 ,264.1 ,201.1 ,237.3 ,232.3 ,220.3 ,338.0 ,201.8 ,219.8 ,192.6 ,252.6 ,229.8 ,156.4 ,205.9 ,252.9 ,275.4 ,250.6 ,182.5 ,248.5 ,322.3 ,99.0 ,215.0 ,183.4 
2008,315,229,140.85,306.6,329.3 ,257.8 ,232.5 ,266.7 ,248.2 ,207.0 ,143.6 ,225.2 ,138.0 ,252.0 ,235.5 ,232.1 ,270.9 ,201.9 ,254.5 ,292.3 ,320.9 ,138.1 ,231.0 ,193.1 ,234.5 ,218.0 ,222.5 ,163.5 
2009,289.1,202,110.65,321.6,333.0 ,141.4 ,160.9 ,189.2 ,197.7 ,242.3 ,346.4 ,261.9 ,127.4 ,310.2 ,183.1 ,257.5 ,80.4 ,245.2 ,183.7 ,227.0 ,193.4 ,219.6 ,199.0 ,124.4 ,234.9 ,96.9 ,138.0 ,169.1 
2010,290.2,204,113.55,310,229.4 ,223.7 ,117.2 ,265.1 ,234.7 ,138.0 ,211.0 ,109.9 ,134.9 ,153.9 ,181.0 ,190.5 ,286.7 ,172.3 ,96.5 ,248.1 ,342.9 ,251.0 ,184.5 ,195.3 ,195.8 ,179.3 ,231.7 ,333.3 
2011,189,222,147.2,313.45,268.7 ,195.6 ,262.2 ,298.7 ,197.2 ,259.4 ,208.8 ,218.5 ,226.5 ,252.7 ,112.7 ,222.3 ,326.0 ,217.1 ,333.0 ,173.8 ,156.1 ,165.0 ,138.3 ,260.4 ,187.1 ,179.5 ,300.9 ,183.4 
2012,164.5,216,121.95,286.65,353.9 ,184.7 ,270.0 ,134.4 ,212.3 ,247.6 ,227.3 ,224.7 ,302.2 ,255.5 ,180.8 ,233.1 ,195.2 ,244.6 ,240.3 ,130.7 ,194.9 ,226.4 ,271.1 ,113.2 ,210.8 ,108.1 ,178.0 ,246.9 
2013,254.1,207,93.5,329.7,176.2 ,348.3 ,53.0 ,194.3 ,311.1 ,95.1 ,212.0 ,132.8 ,297.9 ,186.0 ,260.1 ,404.3 ,238.3 ,234.0 ,190.6 ,106.7 ,220.3 ,176.3 ,264.8 ,203.0 ,140.2 ,91.9 ,197.8 ,233.8 
2014,,200,103.4,285.1,250.4 ,211.9 ,128.6 ,189.2 ,200.7 ,283.6 ,260.4 ,102.0 ,286.6 ,142.5 ,251.6 ,127.4 ,219.7 ,269.5 ,160.1 ,217.5 ,69.0 ,289.8 ,280.7 ,104.8 ,159.2 ,236.0 ,128.4 ,247.4 
2015,,197,134.05,281,185.5 ,208.0 ,216.9 ,137.9 ,139.5 ,240.8 ,135.1 ,210.8 ,201.8 ,176.9 ,128.0 ,138.3 ,165.8 ,219.6 ,133.0 ,276.3 ,289.5 ,285.7 ,156.3 ,219.9 ,165.4 ,167.6 ,275.7 ,266.6 
2016,,203,138.6,272.5,254.9 ,170.5 ,163.2 ,204.7 ,125.6 ,203.9 ,210.6 ,99.4 ,224.6 ,197.0 ,216.2 ,184.8 ,211.3 ,193.8 ,210.7 ,212.9 ,192.0 ,195.9 ,309.1 ,229.6 ,200.8 ,221.6 ,290.1 ,151.6 
2017,,217,157.1,327.35,220.2 ,265.6 ,162.8 ,311.7 ,238.9 ,240.5 ,158.3 ,347.3 ,220.1 ,165.8 ,343.0 ,174.8 ,185.1 ,155.9 ,210.5 ,102.8 ,190.4 ,255.3 ,172.2 ,214.9 ,213.3 ,163.2 ,232.2 ,281.2 
2018,,208,148.15,306.45,145.0 ,173.5 ,268.7 ,163.8 ,160.4 ,248.6 ,341.4 ,178.6 ,169.0 ,166.0 ,160.8 ,182.9 ,177.3 ,235.9 ,289.6 ,249.0 ,137.6 ,323.3 ,151.3 ,197.1 ,248.8 ,244.6 ,225.4 ,157.9 
